sample_id	rec_key	lig_id	site_tag	receptor_path	ligand_path	reason
2au6_1_F_M6	2au6_1	F	M6	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/2au6_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/2au6_1_F_M6.cif	RuntimeError: Not a single character: A6
7n2z_1_PB_D3	7n2z_1	PB	D3	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/7n2z_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/7n2z_1_PB_D3.cif	RuntimeError: Not a single character: A3
2au6_1_F_M2	2au6_1	F	M2	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/2au6_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/2au6_1_F_M2.cif	RuntimeError: Not a single character: A2
7n2z_1_PB_C1	7n2z_1	PB	C1	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/7n2z_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/7n2z_1_PB_C1.cif	RuntimeError: Not a single character: A1
2au6_1_F_M4	2au6_1	F	M4	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/2au6_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/2au6_1_F_M4.cif	RuntimeError: Not a single character: A4
2anv_3_SM_I1	2anv_3	SM	I1	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/2anv_3.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/2anv_3_SM_I1.cif	RuntimeError: Not a single character: A1
7n2z_1_PB_C2	7n2z_1	PB	C2	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/7n2z_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/7n2z_1_PB_C2.cif	RuntimeError: Not a single character: A2
2au6_1_F_M5	2au6_1	F	M5	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/2au6_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/2au6_1_F_M5.cif	RuntimeError: Not a single character: A5
2anv_3_SM_I2	2anv_3	SM	I2	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/2anv_3.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/2anv_3_SM_I2.cif	RuntimeError: Not a single character: A2
7o5l_1_RB_F1	7o5l_1	RB	F1	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/7o5l_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/7o5l_1_RB_F1.cif	RuntimeError: Not a single character: A1
7o5l_1_RB_F2	7o5l_1	RB	F2	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_rec_cif/7o5l_1.cif	/home/dataset-local/tmp/zsl/Protenix/biolip/Q_biolip/qbiolip_PL_nonredund_mmcif/nonredund_lig_cif/7o5l_1_RB_F2.cif	RuntimeError: Not a single character: A2
